Nama Pengguna,Rating,Tanggal,Ulasan,Sentimen,Ulasan_Bersih
Pengguna Google,5,2026-06-11 21:52:03,Ok,Positif,ok
Pengguna Google,5,2026-06-11 20:39:45,selalu menyenangkan,Positif,selalu senang
Pengguna Google,2,2026-06-11 19:08:25,"maaf kayaknya aplikasi ini akan jarang saya pakai, dari turbo turun ke Pertamax turun ke pertalite... sekalinya naik harganya kaga ngotak!!",Negatif,maaf kayak aplikasi akan jarang saya pakai turbo turun pertamax turun pertalite sekali naik harga kaga ngotak
Pengguna Google,5,2026-06-11 18:47:19,ok,Positif,ok
Pengguna Google,5,2026-06-11 18:42:07,simple dan mudah untuk digunakan. tidak harus mengantri Berjam-jam dan praktis,Positif,simple mudah guna tidak harus antri berjamjam praktis
Pengguna Google,1,2026-06-11 18:27:12,"ribet banget dah, bingung saya cara mau daftarnya, mau daftar aja semua email bilangnya udah kedaftar, padahal ga pernah daftar, ampun deh saya, belum aja akunnya kebikin pas mau coba lagi email udah kedaftar, selagi akun belum kebikin gimana caranya bisa email udah kedaftar, kan belum ada pemberitahuan kalau akun sudah dibikin terus dikirim lewat Gmail,dikirim ke gmail aja belum gimana mau daftar, pasti selalu bermasalah di akun email",Negatif,ribet banget dah bingung saya cara mau daftar mau daftar aja semua email bilang udah daftar padahal tidak pernah daftar ampun deh saya belum aja akun bikin pas mau coba lagi email udah daftar selagi akun belum bikin gimana cara bisa email udah daftar kan belum ada pemberitahuan kalau akun sudah bikin terus kirim lewat gmaildikirim gmail aja belum gimana mau daftar pasti selalu masalah akun email
Pengguna Google,5,2026-06-11 17:13:33,nice,Positif,nice
Pengguna Google,1,2026-06-11 17:03:09,"mau daftar kok sulit ya, saya sudah masukan no nik sesuai ktp, anehnya ketika mau verifikasi data diri no nik yang 00 bisa ganti 77, aneh sekali",Negatif,mau daftar kok sulit ya saya sudah masuk no nik sesuai ktp aneh ketika mau verifikasi data diri no nik bisa ganti aneh sekali
Pengguna Google,5,2026-06-11 16:49:52,"Untuk pertama kali pakai, tetap bintang 5,",Positif,pertama kali pakai tetap bintang
Pengguna Google,1,2026-06-11 16:27:15,"ribet, udh berulang kali masih aja gk bisa",Negatif,ribet udh ulang kali masih aja tidak bisa
Pengguna Google,5,2026-06-11 13:17:48,baik,Positif,baik
Pengguna Google,5,2026-06-11 12:51:25,walau susah buat barkot tapi membantu orang banyak,Positif,walau susah buat barkot tapi bantu orang banyak
Pengguna Google,1,2026-06-11 12:42:22,bayar transaksi lewat my pertamina....status pembayaran di aplikasi my pertamina sama aplikasi ovo kok berbeda....status pembayaran di my pertamina gagal dan berhasil...sedangkan saldo di aplikasi ovo terpotong 2 kali dengan status berhasil berhasil...jadi kepotong dobel saldonya,Negatif,bayar transaksi lewat my pertaminastatus bayar aplikasi my pertamina sama aplikasi ovo kok berbedastatus bayar my pertamina gagal berhasilsedangkan saldo aplikasi ovo potong kali status hasil berhasiljadi potong dobel saldo
Pengguna Google,5,2026-06-11 12:38:17,Pertamina TERBAIK,Positif,pertamina baik
Pengguna Google,5,2026-06-11 11:25:38,harga mahal,Positif,harga mahal
Pengguna Google,4,2026-06-11 11:16:24,"Gameplay nya kurang,masih kaku",Positif,gameplay nya kurangmasih kaku
Pengguna Google,1,2026-06-11 11:07:02,ribet,Negatif,ribet
Pengguna Google,1,2026-06-11 11:05:37,verifikasi subsidi tepat susah sekali. berulang kali KTP dianggap tidak asli. Padahal menggunakan KTP terbaru,Negatif,verifikasi subsidi tepat susah sekali ulang kali ktp anggap tidak asli padahal guna ktp baru
Pengguna Google,4,2026-06-11 08:36:33,"Semoga kedepannya semakin ditingkatkan, Barakallahu fiikum.",Positif,moga depan makin tingkat barakallahu fiikum
Pengguna Google,1,2026-06-11 08:09:00,"setiap mau mengisi Bbm via aplikasi di spbu pasti ada saja petugasnya tutup . tolong di benarkan sistem seperti itu, agar kami bisa menggunakan aplikasi my pertamina . terimakasih.",Negatif,tiap mau isi bbm via aplikasi spbu pasti ada saja tugas tutup tolong benar sistem seperti agar kami bisa guna aplikasi my pertamina terimakasih
Pengguna Google,5,2026-06-11 08:04:37,bagus,Positif,bagus
Pengguna Google,1,2026-06-11 07:50:37,kalau gak niat bikin aplikasi mending hapus aja deh masa ktp aja terus terusan gak bisa padahal sudah jelas semua dan NIK sesuai mending hapus aja bos,Negatif,kalau gak niat bikin aplikasi mending hapus aja deh masa ktp aja terus terus gak bisa padahal sudah jelas semua nik sesuai mending hapus aja bos
Pengguna Google,5,2026-06-11 07:28:36,keuntungan yg menurutku sangat rekomendasi... cepet antri g banyak.. sat set das des pokok e,Positif,untung turut sangat rekomendasi cepet antri g banyak sat set das des pokok e
Pengguna Google,1,2026-06-11 05:25:11,proses komplen refund ribet dan lama dari yang di janjikan 3x24jam tetapi kenyataannya lebih,Negatif,proses komplen refund ribet lama janji xjam tetapi nyata lebih
Pengguna Google,1,2026-06-11 02:15:36,aplikasi gajelas kaya esdmnya,Negatif,aplikasi gajelas kaya esdmnya
Pengguna Google,1,2026-06-11 01:59:43,Ga bisa masuk,Negatif,tidak bisa masuk
Pengguna Google,5,2026-06-10 23:19:18,bagus sekali,Positif,bagus sekali
Pengguna Google,5,2026-06-10 18:39:56,belum bisa masuk,Positif,belum bisa masuk
Pengguna Google,1,2026-06-10 18:15:35,"Daftar KTP gagal terus alasan foto dari layar hp,padahal langsung di foto lewat hp.. emang makin bobrok pertamina,terlalu banyak korupsi",Negatif,daftar ktp gagal terus alas foto layar hppadahal langsung foto lewat hp emang makin bobrok pertaminaterlalu banyak korupsi
Pengguna Google,1,2026-06-10 16:58:42,terlalu banyak error gak jelas ini aplikasi,Negatif,terlalu banyak error gak jelas aplikasi
Pengguna Google,5,2026-06-10 16:08:49,my favourite gasoline station in Indonesia,Positif,my favourite gasoline station in indonesia
Pengguna Google,1,2026-06-10 15:47:56,saldo terpotong namun barcode untuk pengisian bbm tidak keluar.... sudah lapor tapi tidak ada tindak lanjut ataupun tanggung jawab...,Negatif,saldo potong namun barcode isi bbm tidak keluar sudah lapor tapi tidak ada tindak lanjut atau tanggung jawab
Pengguna Google,5,2026-06-10 15:03:03,baik,Positif,baik
Pengguna Google,5,2026-06-10 14:37:23,good,Positif,good
Pengguna Google,2,2026-06-10 12:50:56,"verifikasi profil di tolak teruus gimana mau daftar, ribeeet ameet, aplikasinya bantu kaga tambah buat ribet",Negatif,verifikasi profil tolak teruus gimana mau daftar ribeeet ameet aplikasi bantu kaga tambah buat ribet
Pengguna Google,5,2026-06-10 12:42:24,bagus,Positif,bagus
Pengguna Google,5,2026-06-10 12:04:27,Semoga rezekiNya dapat membantu untuk segala keperluan melalui MyPertamina pada tahun ini.. Aamiin dan Barokah,Positif,moga rezeki dapat bantu segala perlu lalu mypertamina tahun aamiin barokah
Pengguna Google,1,2026-06-10 12:02:00,buffering nya lama banget jaringan sdh stabil buat aplikasi lain lancar jaya,Negatif,buffering nya lama banget jaring sdh stabil buat aplikasi lain lancar jaya
Pengguna Google,1,2026-06-10 11:44:39,aplikasi sampah. 1.reset kata sandi gk bisa 2. nik saya dikatakan tidak sesuai dengan nik isian (gk ngerti maksudnya apa),Negatif,aplikasi sampah reset kata sandi tidak bisa nik saya kata tidak sesuai nik isi tidak ngerti maksud apa
Pengguna Google,1,2026-06-10 11:24:13,Verifikasi data gagal terus.,Negatif,verifikasi data gagal terus
Pengguna Google,1,2026-06-10 11:23:21,"OTAK dipakai lah jgn letak di bokong, saya foto kendaraan miring sana sini tetap kendaraan tidak sesuai. jgn hanya mempersulit rakyat. emg kalian semua tidak takut akhirat nikmati ajalah silahkan tertawa lepas.",Negatif,otak pakai lah jgn letak bokong saya foto kendara miring sana sini tetap kendara tidak sesuai jgn hanya sulit rakyat emg kalian semua tidak takut akhirat nikmat aja silah tertawa lepas
Pengguna Google,1,2026-06-10 10:06:59,mau daftar subsidi tepat kok ga bisa ya min?ini eror atau di sengaja eror?,Negatif,mau daftar subsidi tepat kok tidak bisa ya min eror atau sengaja eror
Pengguna Google,5,2026-06-10 09:52:38,bagus,Positif,bagus
Pengguna Google,1,2026-06-10 09:09:03,tdk dpt kode otp email,Negatif,tidak dpt kode otp email
Pengguna Google,5,2026-06-10 08:38:00,lancar dan sangat membantu,Positif,lancar sangat bantu
Pengguna Google,5,2026-06-10 08:22:00,ok,Positif,ok
Pengguna Google,4,2026-06-10 08:14:13,udah register tp tak bisa dbuka,Positif,udah register tp tak bisa dbuka
Pengguna Google,1,2026-06-10 08:10:34,"daftar dibilang ktp editan , muka mu editan bahlil",Negatif,daftar bilang ktp edit muka mu edit bahlil
Pengguna Google,1,2026-06-10 07:25:26,"Mohon perbaiki akurasi informasi ketersediaan BBM pada aplikasi MyPertamina. Beberapa kali saya mendatangi SPBU yang di aplikasi tercantum memiliki stok Biosolar, namun setelah tiba di lokasi ternyata stok tidak tersedia. Kondisi ini menyebabkan waktu, tenaga, dan biaya terbuang sia-sia. Saya berharap data stok BBM dapat diperbarui secara real-time atau lebih akurat agar pengguna dapat mengandalkan informasi yang diberikan aplikasi.",Negatif,mohon baik akurasi informasi sedia bbm aplikasi mypertamina beberapa kali saya datang spbu aplikasi cantum milik stok biosolar namun telah tiba lokasi nyata stok tidak sedia kondisi sebab waktu tenaga biaya buang siasia saya harap data stok bbm dapat baru cara realtime atau lebih akurat agar guna dapat andal informasi beri aplikasi
Pengguna Google,5,2026-06-10 06:28:06,baik rapi dan profesional,Positif,baik rapi profesional
Pengguna Google,5,2026-06-10 01:21:22,ok,Positif,ok
Pengguna Google,1,2026-06-10 00:33:38,"udah kemajuan kok masih banyak SPBU yg g menerima pembayaran qris, tukang cilok aja pembayaran qris, ga malu ta",Negatif,udah maju kok masih banyak spbu g terima bayar qris tukang cilok aja bayar qris tidak malu ta
Pengguna Google,5,2026-06-09 21:42:51,tolong perbaiki proses 14/17 kerja sangat lelah menunggu,Positif,tolong baik proses kerja sangat lelah tunggu
Pengguna Google,4,2026-06-09 20:07:25,top,Positif,top
Pengguna Google,5,2026-06-09 19:00:30,sangat membatu,Positif,sangat batu
Pengguna Google,5,2026-06-09 18:42:09,kalo yg sulit harap di permudah,Positif,kalo sulit harap mudah
Pengguna Google,5,2026-06-09 17:29:06,Agak lama dalam pembayaran,Positif,agak lama dalam bayar
Pengguna Google,2,2026-06-09 13:50:20,mau tanya mengapa pin my pertamina saya salah pada hal pin tersebut sering saya gunakan mohon petunjuk nya,Negatif,mau tanya mengapa pin my pertamina saya salah hal pin sebut sering saya guna mohon tunjuk nya
Pengguna Google,5,2026-06-09 13:43:33,mantab,Positif,mantab
Pengguna Google,5,2026-06-09 13:14:23,PRAKTIS DAN MUDAH DIPAKAI ✨,Positif,praktis mudah pakai
Pengguna Google,1,2026-06-09 13:05:34,aturan GK jls Pertamina kode QR mobil saya SDH TDK bisa di gunakan dgn alasan kadarluasa SDH di daftar msh jg GK bisa di gunakan,Negatif,atur tidak jls pertamina kode qr mobil saya sdh tidak bisa guna alas kadarluasa sdh daftar msh jg tidak bisa guna
Pengguna Google,5,2026-06-09 12:12:13,mantap,Positif,mantap
Pengguna Google,5,2026-06-09 11:06:00,kurang memuaskan masalah sinyal,Positif,kurang muas masalah sinyal
Pengguna Google,5,2026-06-09 11:01:30,good bagus,Positif,good bagus
Pengguna Google,5,2026-06-09 09:27:21,mudah di gunakan,Positif,mudah guna
Pengguna Google,5,2026-06-09 01:40:57,bagus,Positif,bagus
Pengguna Google,5,2026-06-08 23:14:01,Puas 💫👍,Positif,puas
Pengguna Google,5,2026-06-08 22:43:14,tolng di bantu buat barkot sudah hampir 3 bulan belum jadi,Positif,tolng bantu buat barkot sudah hampir bulan belum jadi
Pengguna Google,5,2026-06-08 20:26:58,Terimakasih Sangat membantu untuk pengisian BBM bersubsidi di Pertamina manapun,Positif,terimakasih sangat bantu isi bbm subsidi pertamina mana
Pengguna Google,5,2026-06-08 19:34:55,enak sekali besuk2 pakai my pertamina wis,Positif,enak sekali besuk pakai my pertamina wis
Pengguna Google,5,2026-06-08 19:22:06,terimakasih mypertamina.,Positif,terimakasih mypertamina
Pengguna Google,5,2026-06-08 18:07:53,sangat berguna,Positif,sangat guna
Pengguna Google,5,2026-06-08 16:28:16,bagus,Positif,bagus
Pengguna Google,5,2026-06-08 15:12:58,josss,Positif,josss
Pengguna Google,1,2026-06-08 14:35:36,"Harga Naiknya Serentak, Harga Turunnya Gak Serentak",Negatif,harga naik serentak harga turun gak serentak
Pengguna Google,5,2026-06-08 14:27:10,sangat puas,Positif,sangat puas
Pengguna Google,5,2026-06-08 13:37:06,ok,Positif,ok
Pengguna Google,5,2026-06-08 10:33:03,bagus' sekali,Positif,bagus sekali
Pengguna Google,5,2026-06-08 10:28:47,ok,Positif,ok
Pengguna Google,5,2026-06-08 09:02:47,senang ada aplikasi ini ...,Positif,senang ada aplikasi
Pengguna Google,5,2026-06-08 08:51:55,"kereenn,,, baguss,, ohya kapan harga petalite seliter bisa 5000 rupiah,,",Positif,kereenn baguss ohya kapan harga petalite liter bisa rupiah
Pengguna Google,5,2026-06-08 08:35:25,terima kasih udah ditindaklanjuti pengaduannya semoga kalo ada pengaduan responnya cepat ke depannya,Positif,terima kasih udah ditindaklanjuti adu moga kalo ada adu responnya cepat depan
Pengguna Google,5,2026-06-08 07:54:53,sangat membantu driver ojol trims y,Positif,sangat bantu driver ojol trims y
Pengguna Google,5,2026-06-08 03:05:01,bagus,Positif,bagus
Pengguna Google,1,2026-06-08 00:15:01,aplikasi lemot,Negatif,aplikasi lot
Pengguna Google,5,2026-06-07 20:25:18,"Bagus, tambahin mode gelap kak",Positif,bagus tambahin mode gelap kak
Pengguna Google,5,2026-06-07 19:10:58,good,Positif,good
Pengguna Google,1,2026-06-07 17:42:01,aplikasi lemot,Negatif,aplikasi lot
Pengguna Google,4,2026-06-07 15:46:21,lancar,Positif,lancar
Pengguna Google,1,2026-06-07 14:55:15,"Sedikit saran dan masukan saja, utk aplikasi ini tergolong ribet,... 1. Pd saat pndaftaran app ini verifikasi melalui email, it's ok bila verifnya hrs klik tautan yg dikirim ke email, namun utk kode verif sebaiknya kasih opsi lain, misal via email, wa, sms, dll. Mengingat kendala pnuhnya kpasitas email mmbuat proses terhambat 2. App minta upadate, bila tdk diupdate tdk bisa dpakai. Sbaiknya utk update kasih pilihan ""update nanti"" namun app masih bs dipakai, krn tdk smua org tiap hr buka app ini",Negatif,sedikit saran masuk saja utk aplikasi golong ribet pd saat pndaftaran app verifikasi lalu email its ok bila verifnya hrs klik taut kirim email namun utk kode verif baik kasih opsi lain misal via email wa sms dll ingat kendala pnuhnya kpasitas email mmbuat proses hambat app minta upadate bila tidak diupdate tidak bisa dpakai sbaiknya utk update kasih pilih update nanti namun app masih bs pakai krn tidak smua org tiap hr buka app
Pengguna Google,1,2026-06-07 14:02:19,malah makin rumit,Negatif,malah makin rumit
Pengguna Google,5,2026-06-07 12:00:06,bagus,Positif,bagus
Pengguna Google,2,2026-06-07 10:40:57,untuk verivikasi sangat lama,Negatif,verivikasi sangat lama
Pengguna Google,4,2026-06-06 21:49:14,cukup baik,Positif,cukup baik
Pengguna Google,5,2026-06-06 20:24:18,kak knpa video call 135 hanya blank putih dan hanya muncul titik 3 d tunggu setengah hari ngak ada perubahan.... terimakasih..,Positif,kak knpa video call hanya blank putih hanya muncul titik d tunggu tengah hari ngak ada ubah terimakasih
Pengguna Google,5,2026-06-06 19:39:12,sangat mudah untuk di pelahari,Positif,sangat mudah lahar
Pengguna Google,1,2026-06-06 17:10:29,setiap saya mau Verifikasi kendaraan utk pendaftaran selalu gagal kira2 kl hanya mempesulit jgn buat aplikasi,Negatif,tiap saya mau verifikasi kendara utk daftar selalu gagal kira kl hanya sulit jgn buat aplikasi
Pengguna Google,5,2026-06-06 13:20:02,good,Positif,good
Pengguna Google,5,2026-06-06 12:00:37,mantap,Positif,mantap
Pengguna Google,5,2026-06-06 11:43:01,lancar,Positif,lancar
Pengguna Google,5,2026-06-06 10:16:05,paling Mantap 👍,Positif,paling mantap
Pengguna Google,1,2026-06-06 08:04:24,masa bayar qris harus punya aplikasi mypertamina... kalah sama yang punya swasta,Negatif,masa bayar qris harus punya aplikasi mypertamina kalah sama punya swasta
Pengguna Google,5,2026-06-06 07:42:54,The Best My Pertamina,Positif,the best my pertamina
